num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,L
11,9,63,20,8,12,11,7,44,75,gzip,60.76
15,3,27,5,1,12,24,31,54,21,none,3281.78
8,6,57,9,15,10,20,16,19,78,none,31.69
1,6,38,7,19,18,6,13,20,18,lz4,64.08
10,17,22,6,4,17,24,34,61,64,snappy,61.27
14,8,80,20,2,1,4,13,39,65,snappy,344.07
14,18,20,15,8,14,2,6,53,55,none,34.94
16,7,30,5,14,3,25,26,33,36,snappy,25.79
2,11,59,9,4,13,21,34,56,22,snappy,66.91
7,6,55,6,12,5,1,10,9,10,lz4,31.49
4,16,73,16,2,11,29,1,31,41,lz4,61.34
15,16,92,4,7,6,27,18,8,30,gzip,12.7
13,21,65,9,9,4,30,21,32,25,none,45.53
18,24,46,3,15,9,18,24,6,74,snappy,71.05
11,2,26,9,1,14,19,29,15,27,gzip,24.21
18,1,73,9,12,2,10,46,16,9,none,70.63
16,16,36,2,7,13,6,43,53,91,gzip,71.18
14,19,18,14,2,19,26,3,36,45,none,207.6
18,21,70,1,17,20,11,11,18,83,snappy,24.76
1,19,100,20,9,13,7,5,20,41,gzip,37.43
16,11,100,7,11,12,15,14,13,42,none,31.36
9,11,10,7,13,10,26,27,41,37,none,46.71
10,3,49,16,7,17,14,42,2,3,none,2707.06
20,5,57,9,6,18,19,33,49,82,lz4,39.5
9,11,9,17,8,7,14,41,12,31,snappy,31.33
14,14,15,6,6,4,17,38,27,67,snappy,28.44
4,11,1,11,17,5,19,7,7,5,none,177.17
18,9,26,16,12,14,12,4,5,90,none,76.03
6,1,81,10,15,20,22,27,34,44,lz4,33.01
11,6,34,8,11,18,2,26,29,11,none,26.05
